strain,carbon_source,inducer_conc,replicate,od_260nm,wash_od600nm,harvest_od_600nm,residual_od_600nm,date_collected
wildtype,LB,0,1,0.840,0.011,0.218,0.018,2024-05-24
wildtype,LB,0,2,0.920,0.007,0.245,0.046,2024-05-24
wildtype,glucose,0,1,0.420,0.005,0.223,0.039,2024-05-22
wildtype,glucose,0,2,0.340,0,0.200,0.053,2024-05-22
wildtype,glycerol,0,1,0.306,0.003,0.204,0.009,2024-05-22
wildtype,glycerol,0,2,0.422,0.002,0.237,0.010,2024-05-22
wildtype,sorbitol,0,1,0.292,0.001,0.192,0.014,2024-05-22
wildtype,sorbitol,0,2,0.370,0.001,0.202,0.021,2024-05-22
wildtype,acetate,0,1,0.210,0.002,0.198,0.014,2024-05-25
wildtype,acetate,0,2,0.242,0.001,0.200,0.011,2024-05-25
wildtype,glucose+acetate,0,1,0.285,0.002,0.204,0.069,2024-05-22
wildtype,glucose+acetate,0,2,0.309,0.002,0.172,0.025,2024-05-22
wildtype,glucoseCAA,0,1,0.559,0.003,0.202,0.043,2024-05-24
wildtype,glucoseCAA,0,2,0.873,0,0.222,0.036,2024-05-24
meshI,glucose,0,1,0.382,0.004,0.216,0,2024-05-23
meshI,glucose,0,2,0.458,0.023,0.230,0,2024-05-23
meshI,glucose,100,1,0.510,0.003,0.229,0.008,2024-05-23
meshI,glucose,100,2,0.454,0.003,0.245,0.006,2024-05-23
relA,glucose,0,1,0.326,0.005,0.198,0.085,2024-05-23
relA,glucose,0,2,0.327,0.004,0.202,0.037,2024-05-23
relA,glucose,2,1,0.341,0.011,0.216,0.021,2024-05-23
relA,glucose,2,2,0.277,0.015,0.207,0.036,2024-05-26
relA,glucose,4,1,0.215,0.014,0.194,0.024,2024-05-25
relA,glucose,4,2,0.201,0.020,0.196,0.026,2024-05-25
lacZ,glucose,0,1,0.285,0.012,0.200,0.015,2024-05-25
lacZ,glucose,0,2,0.292,0.006,0.198,0.011,2024-05-25
lacZ,glucose,1,1,0.321,0.018,0.203,0.007,2024-05-28
lacZ,glucose,1,2,0.313,0,0.195,0.007,2024-05-28
lacZ,glucose,3,1,0.274,0,0.203,0.007,2024-05-29
lacZ,glucose,3,2,0.223,0.005,0.206,0.028,2024-05-26
lacZ,glucose,5,1,0.273,0.008,0.206,0.008,2024-05-25
lacZ,glucose,5,2,0.295,0,0.201,0.010,2024-05-25
