date,carbon_source,strain,replicate,od_600nm,inducer_conc,elapsed_time_hr,temperature_C
2024-08-27,glucoseCAA,meshI,1,0.056,0,0.0,37
2024-08-27,glucoseCAA,meshI,1,0.138,0,0.6166666666666667,37
2024-08-27,glucoseCAA,meshI,1,0.172,0,0.8833333333333333,37
2024-08-27,glucoseCAA,meshI,1,0.264,0,1.1833333333333333,37
2024-08-27,glucoseCAA,meshI,1,0.438,0,1.65,37
2024-08-27,glucoseCAA,meshI,1,0.058,100,0.0,37
2024-08-27,glucoseCAA,meshI,1,0.14,100,0.6166666666666667,37
2024-08-27,glucoseCAA,meshI,1,0.163,100,0.8666666666666667,37
2024-08-27,glucoseCAA,meshI,1,0.187,100,1.1833333333333333,37
2024-08-27,glucoseCAA,meshI,1,0.245,100,1.65,37
2024-08-27,glucoseCAA,meshI,1,0.303,100,1.9166666666666667,37
2024-08-27,glucoseCAA,meshI,1,0.383,100,2.216666666666667,37
2024-08-27,glucoseCAA,relA,1,0.059,0,0.0,37
2024-08-27,glucoseCAA,relA,1,0.158,0,0.6,37
2024-08-27,glucoseCAA,relA,1,0.193,0,0.8666666666666667,37
2024-08-27,glucoseCAA,relA,1,0.3,0,1.1666666666666667,37
2024-08-27,glucoseCAA,relA,1,0.35,0,1.3333333333333333,37
2024-08-27,glucoseCAA,relA,1,0.406,0,1.4333333333333333,37
2024-08-27,glucoseCAA,relA,1,0.04,2,0.0,37
2024-08-27,glucoseCAA,relA,1,0.103,2,0.6,37
2024-08-27,glucoseCAA,relA,1,0.144,2,0.85,37
2024-08-27,glucoseCAA,relA,1,0.196,2,1.1666666666666667,37
2024-08-27,glucoseCAA,relA,1,0.252,2,1.3,37
2024-08-27,glucoseCAA,relA,1,0.494,2,1.9,37
2024-08-27,glucoseCAA,relA,1,0.043,4,0.0,37
2024-08-27,glucoseCAA,relA,1,0.057,4,0.25,37
2024-08-27,glucoseCAA,relA,1,0.17,4,1.35,37
2024-08-27,glucoseCAA,relA,1,0.246,4,1.6666666666666667,37
2024-08-27,glucoseCAA,relA,1,0.305,4,1.9,37
2024-08-27,glucoseCAA,relA,1,0.355,4,2.1,37
2024-08-27,glucoseCAA,relA,1,0.469,4,2.3833333333333333,37
2024-08-27,glucoseCAA,meshI,2,0.052,0,0.0,37
2024-08-27,glucoseCAA,meshI,2,0.151,0,0.6166666666666667,37
2024-08-27,glucoseCAA,meshI,2,0.183,0,0.8833333333333333,37
2024-08-27,glucoseCAA,meshI,2,0.258,0,1.1833333333333333,37
2024-08-27,glucoseCAA,meshI,2,0.458,0,1.65,37
2024-08-27,glucoseCAA,meshI,2,0.055,100,0.0,37
2024-08-27,glucoseCAA,meshI,2,0.142,100,0.6166666666666667,37
2024-08-27,glucoseCAA,meshI,2,0.148,100,0.8666666666666667,37
2024-08-27,glucoseCAA,meshI,2,0.181,100,1.1833333333333333,37
2024-08-27,glucoseCAA,meshI,2,0.263,100,1.65,37
2024-08-27,glucoseCAA,meshI,2,0.37,100,1.9333333333333333,37
2024-08-27,glucoseCAA,meshI,2,0.473,100,2.216666666666667,37
2024-08-27,glucoseCAA,relA,2,0.064,0,0.0,37
2024-08-27,glucoseCAA,relA,2,0.163,0,0.6166666666666667,37
2024-08-27,glucoseCAA,relA,2,0.215,0,0.8666666666666667,37
2024-08-27,glucoseCAA,relA,2,0.319,0,1.1833333333333333,37
2024-08-27,glucoseCAA,relA,2,0.381,0,1.3333333333333333,37
2024-08-27,glucoseCAA,relA,2,0.439,0,1.4333333333333333,37
2024-08-27,glucoseCAA,relA,2,0.044,2,0.0,37
2024-08-27,glucoseCAA,relA,2,0.101,2,0.6,37
2024-08-27,glucoseCAA,relA,2,0.144,2,0.8666666666666667,37
2024-08-27,glucoseCAA,relA,2,0.213,2,1.1666666666666667,37
2024-08-27,glucoseCAA,relA,2,0.11,4,0.0,37
2024-08-27,glucoseCAA,relA,2,0.152,4,0.31666666666666665,37
2024-08-27,glucoseCAA,relA,2,0.183,4,0.55,37
2024-08-27,glucoseCAA,relA,2,0.217,4,0.7666666666666667,37
2024-08-27,glucoseCAA,relA,2,0.275,4,1.05,37
2024-08-27,glucoseCAA,relA,2,0.366,4,1.3666666666666667,37
2024-08-27,glucoseCAA,relA,2,0.393,4,1.4666666666666666,37
