source,growth_rate_hr,mean_value,median_value,2.5%,97.5%,quantity,units
Caglar et al. 2017,0.6630116912775283,319.58148324999996,317.6755,255.85292500000003,392.0702,rho_cyt,fg/fL
Caglar et al. 2017,0.7747553284413429,308.62324125000004,307.3165,251.7007,371.700175,rho_cyt,fg/fL
Li et al. 2014,1.934364224818452,405.46079075000006,394.797,262.61095,617.099325,rho_cyt,fg/fL
Li et al. 2014,1.5693898427772346,373.64917225,368.449,272.18905,505.1188250000001,rho_cyt,fg/fL
Li et al. 2014,0.738700370046123,344.8537685,342.8025,280.48295,417.47525,rho_cyt,fg/fL
Mori et al. 2021,0.4892803627481966,338.8562585,336.3485,258.890175,434.20327499999996,rho_cyt,fg/fL
Mori et al. 2021,0.33,329.08180275,325.6405,237.50347499999998,441.89175,rho_cyt,fg/fL
Mori et al. 2021,0.34,332.27520275,328.8615,240.88835,445.239725,rho_cyt,fg/fL
Mori et al. 2021,0.35,329.81183799999997,326.612,239.889175,440.4544,rho_cyt,fg/fL
Mori et al. 2021,0.48,342.86038600000006,340.1705,260.991575,440.2471,rho_cyt,fg/fL
Mori et al. 2021,0.49,343.917327,341.35450000000003,262.831825,440.56827499999997,rho_cyt,fg/fL
Mori et al. 2021,0.5,347.6697875,345.2405,266.39567500000004,443.71845,rho_cyt,fg/fL
Mori et al. 2021,0.55,350.11453324999997,347.79449999999997,271.44655,440.75047500000005,rho_cyt,fg/fL
Mori et al. 2021,0.71,362.78248325000004,360.47299999999996,293.111325,440.11582500000003,rho_cyt,fg/fL
Mori et al. 2021,0.72,362.25895475000004,359.945,292.99165,439.472175,rho_cyt,fg/fL
Mori et al. 2021,0.81,375.27187325,373.881,308.1273,449.6142,rho_cyt,fg/fL
Mori et al. 2021,0.6817841120261757,358.9987345,356.7425,288.44707500000004,438.37827500000003,rho_cyt,fg/fL
Mori et al. 2021,0.5010702510071894,352.32842975,349.885,270.0609,449.508775,rho_cyt,fg/fL
Mori et al. 2021,1.1240224549620734,371.47766824999997,370.14549999999997,302.20297500000004,454.13182500000005,rho_cyt,fg/fL
Mori et al. 2021,0.8487516496652392,369.94388549999996,368.894,304.4846,442.81850000000003,rho_cyt,fg/fL
Mori et al. 2021,0.9041050181216675,367.94003475,366.6085,303.97965,440.25945,rho_cyt,fg/fL
Mori et al. 2021,0.8317766166719343,374.52184250000005,373.3935,308.191875,448.23547500000006,rho_cyt,fg/fL
Mori et al. 2021,0.7701635339554948,370.90284024999994,369.2205,302.386125,447.02035,rho_cyt,fg/fL
Peebo et al. 2015,0.21,345.2838695,340.048,238.28505,481.564,rho_cyt,fg/fL
Peebo et al. 2015,0.22,348.16042200000004,343.2025,241.253775,483.772375,rho_cyt,fg/fL
Peebo et al. 2015,0.26,353.852016,349.21799999999996,249.03165,486.10775,rho_cyt,fg/fL
