quantity,source,growth_rate_hr,mean_val,lower,upper
M_cyto,Caglar et al. 2017,0.6630116912775283,177.572409,162.5551,193.494075
M_cyto,Caglar et al. 2017,0.7747553284413429,190.9894625,175.47424999999998,207.082575
M_cyto,Li et al. 2014,1.934364224818452,459.164181,386.16885,542.9873
M_cyto,Li et al. 2014,1.5693898427772346,348.0754135,305.842375,394.37935000000004
M_cyto,Li et al. 2014,0.738700370046123,167.614059,153.9229,182.06862500000003
M_cyto,Mori et al. 2021,0.4892803627481966,131.60747875,119.166475,145.2249
M_cyto,Mori et al. 2021,0.33,114.61327762500002,102.18095,128.391125
M_cyto,Mori et al. 2021,0.34,116.970068975,104.448725,130.925225
M_cyto,Mori et al. 2021,0.35,116.7247172,104.36580000000001,130.53359999999998
M_cyto,Mori et al. 2021,0.48,132.07614424999997,119.469625,145.9082
M_cyto,Mori et al. 2021,0.49,133.864468,121.21555,147.703925
M_cyto,Mori et al. 2021,0.5,136.66070549999998,123.8503,150.660125
M_cyto,Mori et al. 2021,0.55,139.50106774999998,126.83162499999999,153.168925
M_cyto,Mori et al. 2021,0.56,143.30289675,130.4149,157.33159999999998
M_cyto,Mori et al. 2021,0.69,327.70328324999997,300.4276,356.869625
M_cyto,Mori et al. 2021,0.71,164.24749050000003,150.705975,178.62187500000002
M_cyto,Mori et al. 2021,0.72,167.2357005,153.470175,181.75342500000002
M_cyto,Mori et al. 2021,0.81,184.11821574999996,169.47665,199.7921
M_cyto,Mori et al. 2021,0.6817841120261757,167.2728825,153.340675,182.262225
M_cyto,Mori et al. 2021,0.5010702510071894,144.52370724999997,130.9862,159.3043
M_cyto,Mori et al. 2021,1.1240224549620734,243.96452500000004,222.96765,265.43697499999996
M_cyto,Mori et al. 2021,0.8487516496652392,189.93314,174.7703,205.939075
M_cyto,Mori et al. 2021,0.9041050181216675,198.19995225,182.506975,214.65425
M_cyto,Mori et al. 2021,0.8317766166719343,187.254695,172.338425,203.115
M_cyto,Mori et al. 2021,0.7701635339554948,175.51235,161.22895,190.31545
M_cyto,Peebo et al. 2015,0.21,112.3371102,98.77201,127.17675
M_cyto,Peebo et al. 2015,0.22,114.723703275,100.978525,129.70047499999998
M_cyto,Peebo et al. 2015,0.26,118.74252415000001,104.98235000000001,133.85075
M_cyto,Peebo et al. 2015,0.31,122.72555687500001,109.128825,137.83052500000002
M_cyto,Peebo et al. 2015,0.36,129.96083775,116.29865000000001,145.229275
M_cyto,Peebo et al. 2015,0.41,135.83211075,122.1177,151.072525
M_cyto,Peebo et al. 2015,0.46,143.01455124999998,129.07907500000002,158.291375
M_cyto,Peebo et al. 2015,0.51,149.59262874999996,135.587975,164.74405
M_cyto,Peebo et al. 2015,0.25,117.9908452,104.21517499999999,133.0547
M_cyto,Peebo et al. 2015,0.35,127.78456975,114.2547,142.90165000000002
M_cyto,Peebo et al. 2015,0.42,134.76366074999999,121.29005,149.703325
M_cyto,Peebo et al. 2015,0.45,139.95674325,126.21872499999999,155.067475
M_cyto,Peebo et al. 2015,0.53,149.88009975,136.057725,164.71197500000002
M_cyto,Peebo et al. 2015,0.55,154.31469075,140.2996,169.434025
