growth_rate_hr,fg_protein_per_cell,source,notes,
1.270,399.7,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,
0.980,311.2,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,
0.700,221.9,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,
0.450,221.1,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,
0.420,201.5,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD,
0.416,136.0,Bremer & Dennis 2008,From table 1,
0.693,214.0,Bremer & Dennis 2008,From table 1,
1.040,295.0,Bremer & Dennis 2008,From table 1,
1.386,387.0,Bremer & Dennis 2008,From table 1,
1.733,431.0,Bremer & Dennis 2008,From table 1,
2.079,426.0,Bremer & Dennis 2008,From table 1,
0.416,101.0,Churchward et al. 1982,From Table 1,
0.693,140.0,Churchward et al. 1982,From Table 1,
1.040,246.0,Churchward et al. 1982,From Table 1,
1.386,417.0,Churchward et al. 1982,From Table 1,
1.733,474.0,Churchward et al. 1982,From Table 1,
0.416,100.0,Dennis & Bremer 1987,Taken from Table 2,
0.693,156.0,Dennis & Bremer 1987,Taken from Table 2,
1.040,234.0,Dennis & Bremer 1987,Taken from Table 2,
1.386,340.0,Dennis & Bremer 1987,Taken from Table 2,
1.733,450.0,Dennis & Bremer 1987,Taken from Table 2,
0.74,237.8,Li et al. 2014,"Sum of all reported fg masses per cell, calibrated by a Lowry assay",
1.57,449.3,Li et al. 2014,"Sum of all reported fg masses per cell, calibrated by a Lowry assay",
1.93,680.6,Li et al. 2014,"Sum of all reported fg masses per cell, calibrated by a Lowry assay",
0.11,132.6,Valgepea et al. 2013,Calculated from quantities in Supplemental Table 1,
0.21,158.9,Valgepea et al. 2013,Calculated from quantities in Supplemental Table 1,
0.31,202.7,Valgepea et al. 2013,Calculated from quantities in Supplemental Table 1,
0.40,231.2,Valgepea et al. 2013,Calculated from quantities in Supplemental Table 1,
0.49,253.3,Valgepea et al. 2013,Calculated from quantities in Supplemental Table 1,
0.11,106.2,Arike et al. 2012,Calculated from average iBAQ copies per cell multiplied by their annotated molecular mass as reported in SI table 1,
