gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
aaeA,ra-sector,aromatic carboxylic acid efflux pump membrane fusion protein,,,,IM,transporter,Defense mechanisms,V,COG1566,no
aaeB,rca-sector,aromatic carboxylic acid efflux pump subunit AaeB,,,,IM,transporter,Function unknown,S,COG1289,no
aaeR,ra-sector,LysR-type transcriptional regulator AaeR,,,,CP,,Transcription,K,COG0583,no
aaeX,s-sector,DUF1656 domain-containing protein AaeX,,,,IM,membrane protein,notdefined,notdefined,,no
aas,a-sector,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,,,,IM,other,Lipid transport and metabolism,I,COG0204,no
aat,ra-sector,leucyl/phenylalanyl-tRNA&mdash;protein transferase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2360,no
abgA,rca-sector,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,,,,CP,,General function prediction only,R,COG1473,no
abgB,rca-sector,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,,,,CP,,General function prediction only,R,COG1473,no
abgR,s-sector,putative LysR-type DNA-binding transcriptional regulator AbgR,,,,CP,,Transcription,K,COG0583,no
abgT,rca-sector,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,,,,IM,transporter,Coenzyme transport and metabolism,H,COG2978,no
abpA,a-sector,CP4-57 prophage; anti-bacteriophage protein,,,,CP,,notdefined,notdefined,,no
abpB,s-sector,CP4-57 prophage; putative helicase YfjK,,,,CP,,"Replication, recombination and repair",L,COG1204,no
abrB,a-sector,putative regulator,,,,IM,other,General function prediction only,R,COG3180,no
accA,a-sector,acetyl-CoA carboxyltransferase subunit &alpha;,,,,CP,,Lipid transport and metabolism,I,COG0825,no
accB,s-sector,biotin carboxyl carrier protein,,,,CP,,notdefined,HI,COG0511,no
accC,s-sector,biotin carboxylase,,,,CP,,Lipid transport and metabolism,I,COG0439,no
accD,ra-sector,acetyl-CoA carboxyltransferase subunit &beta;,,,,CP,,Lipid transport and metabolism,I,COG0777,no
aceA,s-sector,isocitrate lyase,C-scavenging,catabolism,catabolism,CP,,Energy production and conversion,C,COG2224,no
aceB,rca-sector,MALATE-SYNTHASE,malate synthase glyoxylate cycle,catabolism,catabolism,CP,,Energy production and conversion,C,COG2225,yes
aceE,a-sector,pyruvate dehydrogenase E1 component,,,,CP,,Energy production and conversion,C,COG2609,no
aceF,ra-sector,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",,,,CP,,Energy production and conversion,C,COG0508,no
aceK,s-sector,isocitrate dehydrogenase kinase/phosphatase,,,,CP,,Signal transduction mechanisms,T,COG4579,no
ackA,a-sector,acetate kinase,,,,CP,,Energy production and conversion,C,COG0282,no
acnA,s-sector,aconitate hydratase 1,,,,CP,,Energy production and conversion,C,COG1048,yes
acnB,rca-sector,AcnB,,,,CP,,Energy production and conversion,C,COG1049,yes
acpH,rca-sector,EG11095-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG3124,no
