growth_rate_hr,rna_to_protein,source,notes
0.000,0.088,Dai et al. 2016,Data taken from Table S3
0.033,0.097,Dai et al. 2016,Data taken from Table S3
0.128,0.121,Dai et al. 2016,Data taken from Table S3
0.197,0.129,Dai et al. 2016,Data taken from Table S3
0.231,0.134,Dai et al. 2016,Data taken from Table S3
0.285,0.147,Dai et al. 2016,Data taken from Table S3
0.336,0.151,Dai et al. 2016,Data taken from Table S3
0.407,0.171,Dai et al. 2016,Data taken from Table S3
0.418,0.169,Dai et al. 2016,Data taken from Table S3
0.452,0.171,Dai et al. 2016,Data taken from Table S3
0.486,0.182,Dai et al. 2016,Data taken from Table S3
0.550,0.189,Dai et al. 2016,Data taken from Table S3
0.673,0.215,Dai et al. 2016,Data taken from Table S3
0.686,0.215,Dai et al. 2016,Data taken from Table S3
0.700,0.215,Dai et al. 2016,Data taken from Table S3
0.717,0.215,Dai et al. 2016,Data taken from Table S3
0.744,0.233,Dai et al. 2016,Data taken from Table S3
0.918,0.252,Dai et al. 2016,Data taken from Table S3
0.945,0.272,Dai et al. 2016,Data taken from Table S3
0.993,0.265,Dai et al. 2016,Data taken from Table S3
0.975,0.294,Dai et al. 2016,Data taken from Table S3
1.098,0.305,Dai et al. 2016,Data taken from Table S3
1.162,0.329,Dai et al. 2016,Data taken from Table S3
1.268,0.362,Dai et al. 2016,Data taken from Table S3
1.567,0.441,Dai et al. 2016,Data taken from Table S3
1.795,0.478,Dai et al. 2016,Data taken from Table S3
0.420,0.200,Bremer & Dennis 2008,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
0.690,0.226,Bremer & Dennis 2008,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.040,0.331,Bremer & Dennis 2008,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.390,0.391,Bremer & Dennis 2008,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.730,0.472,Bremer & Dennis 2008,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
0.380,0.189,Forchhammer & Lindahl 1971,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
0.600,0.224,Forchhammer & Lindahl 1971,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.040,0.294,Forchhammer & Lindahl 1971,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.460,0.421,Forchhammer & Lindahl 1971,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
1.730,0.470,Forchhammer & Lindahl 1971,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
0.400,0.178,Scott et al. 2010,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
0.570,0.230,Scott et al. 2010,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA
