source,condition,growth_rate_hr,phi_cyto,phi_mem,phi_peri,phi_rib
Caglar et al. 2017,gluconate_growth,0.6630116912775283,0.8658769673663816,0.08132261682034266,0.052503587313217595,0.03718513481997503
Caglar et al. 2017,glucose_time_course,0.7747553284413429,0.8523427331842834,0.10072106490199408,0.04649491212363179,0.03421099425699334
Li et al. 2014,MOPS complete,1.934364224818452,0.8139837923520963,0.14741038993203254,0.015595134798668054,0.2522289742593567
Li et al. 2014,MOPS complete without methionine,1.5693898427772346,0.8257497358676843,0.12177425148092795,0.03236835675204801,0.1796459373253257
Li et al. 2014,MOPS minimal,0.738700370046123,0.769720292510956,0.16353818823297514,0.04780043065016484,0.1139488731159666
Mori et al. 2021,0.2% galactose,0.4892803627481966,0.73641834873835,0.16412220161744,0.099459437375,0.0996300645
Mori et al. 2021,0.2% glucose,0.33,0.727463048,0.17642914863102,0.094323346359,0.0859385428
Mori et al. 2021,0.2% glucose,0.34,0.7365737331889,0.17131461552096,0.09047866852,0.0879221469
Mori et al. 2021,0.2% glucose,0.35,0.72923852092496,0.17452923982772,0.094504841426,0.0872067257
Mori et al. 2021,0.2% glucose,0.48,0.7444900141162,0.16133824913263,0.092551229401,0.10137932179999999
Mori et al. 2021,0.2% glucose,0.49,0.7486208976013999,0.1625203921923,0.087171913813,0.1034321418
Mori et al. 2021,0.2% glucose,0.5,0.7582320345931,0.15774242709767,0.082436118266,0.10646550070000001
Mori et al. 2021,0.2% glucose,0.55,0.743946779625,0.16454646379693,0.09015192169,0.1163481193
Mori et al. 2021,0.2% glucose,0.56,0.7581930553428695,0.1630767090573183,0.0826799027754996,0.1162242189499992
Mori et al. 2021,0.2% glucose,0.69,1.5641248213996868,0.3013454352979648,0.1351844470361642,0.2454930714333312
Mori et al. 2021,0.2% glucose,0.71,0.7716205231635,0.15065882445217002,0.07636628478100001,0.1302790981
Mori et al. 2021,0.2% glucose,0.72,0.7794546836588,0.14982185639583,0.069116160675,0.1285339729
Mori et al. 2021,0.2% glucose,0.81,0.799024670406749,0.14229784664588999,0.0571014962335,0.1438278174
Mori et al. 2021,0.2% melibiose,0.6817841120261757,0.8036084013146,0.15242982354134998,0.043961790924,0.1203512481
Mori et al. 2021,0.4% sodium acetate,0.5010702510071894,0.8011790132247,0.14187790838376,0.0569430575554,0.0978085601
Mori et al. 2021,10 mM glucose-6-phosphate + 10 mM gluconate,1.1240224549620734,0.8250646084725,0.1458043541363,0.029131032968,0.1554603117
Mori et al. 2021,12 mM arabinose,0.8487516496652392,0.7993028558331,0.14678147349744,0.053915653896000004,0.1387315921
Mori et al. 2021,20 mM mannitol,0.9041050181216675,0.7982427184561,0.15496324730082,0.0467940317136,0.143630662
Mori et al. 2021,24 mM xylose + 20 mM oxaloacetate,0.8317766166719343,0.798716973261,0.1542370110801,0.0470460083443,0.1481683379
Mori et al. 2021,40 mM glycerol + 30 mM succinate,0.7701635339554948,0.7861295853581,0.15749447646394,0.0563759386858,0.1416166835
Peebo et al. 2015,glucose_minimal,0.21,0.7839632800889037,0.12315444473659146,0.07447952060061729,0.0804824277439733
Peebo et al. 2015,glucose_minimal,0.22,0.7943170269275849,0.121001221903342,0.06706841638156966,0.0800981069334845
Peebo et al. 2015,glucose_minimal,0.26,0.7965582791577137,0.12174538938138536,0.06334419881136873,0.0878982307986986
Peebo et al. 2015,glucose_minimal,0.31,0.791369614900382,0.12371853994696669,0.06647962564799823,0.09772924476663362
Peebo et al. 2015,glucose_minimal,0.36,0.8055348374766662,0.1236947574976561,0.052784226588630974,0.1127619849717187
Peebo et al. 2015,glucose_minimal,0.41,0.8092748027886196,0.12736849253175028,0.04582205339014487,0.1248780666128303
Peebo et al. 2015,glucose_minimal,0.46,0.8190112974177195,0.12613655141210028,0.03795906801474316,0.1358578681225154
Peebo et al. 2015,glucose_minimal,0.51,0.8234367960519164,0.1279367788793487,0.03225431422055636,0.147148453859612
Peebo et al. 2015,rich,0.25,0.7977967645490506,0.11313629432288022,0.07132839377703767,0.08775991688880339
Peebo et al. 2015,rich,0.35,0.7983350600012472,0.1114105822152336,0.07222207754958608,0.1037991146240535
Peebo et al. 2015,rich,0.42,0.7965811563626924,0.10951292135166978,0.07467599911426895,0.114814795435399
Peebo et al. 2015,rich,0.45,0.8078686187136535,0.11023374661639511,0.06373598602808359,0.12347681224395508
Peebo et al. 2015,rich,0.53,0.812057289534404,0.1132739662440156,0.0550512047902968,0.13617347333010218
Peebo et al. 2015,rich,0.55,0.8229465193911387,0.10738499337833841,0.05112485080805427,0.1426484355184364
Peebo et al. 2015,rich,0.63,0.81133066527344,0.11111344758073907,0.05840881906504297,0.1555519170494093
Peebo et al. 2015,rich,0.65,0.8213524833545205,0.1106950627494653,0.04956007762891425,0.1662449639990617
