source,condition,growth_rate_hr,strain,replicate,phi_cyt,phi_rib,phi_mem,phi_peri
Caglar et al. 2017,gluconate_growth,0.6630116912775283,REL606,0,0.8658769673663815,0.03718513481997503,0.08132261682034266,0.049068300420016295
Caglar et al. 2017,glucose_time_course,0.7747553284413429,REL606,0,0.8523427331842834,0.03421099425699334,0.10072106490199408,0.042032515226163164
Li et al. 2014,MOPS complete,1.934364224818452,MG1655,0,0.8139837923520963,0.2522289742593567,0.14741038993203254,0.014902729351341492
Li et al. 2014,MOPS complete without methionine,1.5693898427772346,MG1655,0,0.8257497358676843,0.1796459373253257,0.12177425148092796,0.032286863771882925
Li et al. 2014,MOPS minimal,0.738700370046123,MG1655,0,0.769720292510956,0.1139488731159666,0.16353818823297517,0.04671415298537014
Mori et al. 2021,0.2% galactose,0.4892803627481966,NCM3722,0,0.7364183487383501,0.09963006449999999,0.16412220161744,0.067803231175
Mori et al. 2021,0.2% glucose,0.33,NQ1390,0,0.727463048,0.08593854279999998,0.17642914863102,0.070208089459
Mori et al. 2021,0.2% glucose,0.34,NQ1390,0,0.7365737331889,0.0879221469,0.17131461552096,0.06963669182
Mori et al. 2021,0.2% glucose,0.35,NQ1390,0,0.7292385209249601,0.08720672570000002,0.17452923982771998,0.07087997542600001
Mori et al. 2021,0.2% glucose,0.48,NQ1390,0,0.7444900141162,0.10137932179999998,0.16133824913263,0.06384358770100002
Mori et al. 2021,0.2% glucose,0.49,NQ1390,0,0.7486208976013999,0.10343214180000002,0.1625203921923,0.06306388241300001
Mori et al. 2021,0.2% glucose,0.5,NQ1390,0,0.7582320345931,0.10646550070000001,0.15774242709767,0.06245554826599999
Mori et al. 2021,0.2% glucose,0.55,NQ1243,0,0.743946779625,0.1163481193,0.16454646379693,0.06425201874000001
Mori et al. 2021,0.2% glucose,0.56,NQ1243,0,0.7581930553428695,0.1162242189499992,0.1630767090573183,0.05674602970549959
Mori et al. 2021,0.2% glucose,0.69,EQ353,0,0.7861515133752868,0.1182996823333312,0.15267284034389483,0.0630605396268309
Mori et al. 2021,0.2% glucose,0.69,NQ1243,0,0.7779733080244,0.1271933891,0.14867259495406998,0.049941816096000013
Mori et al. 2021,0.2% glucose,0.71,NQ1243,0,0.7716205231635,0.1302790981,0.15065882445217,0.051191958221
Mori et al. 2021,0.2% glucose,0.72,NQ1243,0,0.7794546836587999,0.1285339729,0.14982185639582998,0.048483353435
Mori et al. 2021,0.2% glucose,0.81,NQ1243,0,0.799024670406749,0.1438278174,0.14229784664588999,0.0384200409835
Mori et al. 2021,0.2% melibiose,0.6817841120261757,EQ 59,0,0.8036084013146001,0.1203512481,0.15242982354135,0.04370961051100001
Mori et al. 2021,0.4% sodium acetate,0.5010702510071894,NCM3722,0,0.8011790132247,0.0978085601,0.14187790838375997,0.04627373169540001
Mori et al. 2021,10 mM glucose-6-phosphate + 10 mM gluconate,1.1240224549620734,NCM3722,0,0.8250646084725,0.1554603117,0.1458043541363,0.028950269504
Mori et al. 2021,12 mM arabinose,0.8487516496652392,NCM3722,0,0.7993028558330999,0.1387315921,0.14678147349743997,0.033663216546
Mori et al. 2021,20 mM mannitol,0.9041050181216675,NCM3722,0,0.7982427184561,0.143630662,0.15496324730082,0.0347904335236
Mori et al. 2021,24 mM xylose + 20 mM oxaloacetate,0.8317766166719343,NCM3722,0,0.798716973261,0.1481683379,0.1542370110801,0.0355681586043
Mori et al. 2021,40 mM glycerol + 30 mM succinate,0.7701635339554948,NCM3722,0,0.7861295853581,0.14161668349999998,0.15749447646394,0.037133812185799996
Peebo et al. 2015,glucose_minimal,0.21,BW25113,0,0.7839632800889036,0.0804824277439733,0.12315444473659146,0.07426825085777818
Peebo et al. 2015,glucose_minimal,0.22,BW25113,0,0.7943170269275849,0.08009810693348449,0.121001221903342,0.06690174427813249
Peebo et al. 2015,glucose_minimal,0.26,BW25113,0,0.7965582791577137,0.0878982307986986,0.12174538938138536,0.06309563975083861
Peebo et al. 2015,glucose_minimal,0.31,BW25113,0,0.7913696149003819,0.09772924476663361,0.12371853994696672,0.06624409111175825
Peebo et al. 2015,glucose_minimal,0.36,BW25113,0,0.8055348374766662,0.1127619849717187,0.1236947574976561,0.05261047095887167
Peebo et al. 2015,glucose_minimal,0.41,BW25113,0,0.8092748027886196,0.1248780666128303,0.12736849253175028,0.04565864469244772
Peebo et al. 2015,glucose_minimal,0.46,BW25113,0,0.8190112974177195,0.13585786812251538,0.12613655141210023,0.037626272849059506
Peebo et al. 2015,glucose_minimal,0.51,BW25113,0,0.8234367960519164,0.147148453859612,0.12793677887934868,0.03202217564726863
Peebo et al. 2015,rich,0.25,BW25113,0,0.7977967645490506,0.08775991688880337,0.11313629432288023,0.07087121381303883
Peebo et al. 2015,rich,0.35,BW25113,0,0.7983350600012472,0.1037991146240535,0.11141058221523359,0.07161266072061868
Peebo et al. 2015,rich,0.42,BW25113,0,0.7965811563626923,0.114814795435399,0.10951292135166976,0.07400258161866942
Peebo et al. 2015,rich,0.45,BW25113,0,0.8078686187136533,0.12347681224395508,0.1102337466163951,0.06276847859917355
Peebo et al. 2015,rich,0.53,BW25113,0,0.812057289534404,0.13617347333010218,0.11327396624401562,0.054397342085407654
Peebo et al. 2015,rich,0.55,BW25113,0,0.8229465193911387,0.1426484355184364,0.1073849933783384,0.05027325962331527
Peebo et al. 2015,rich,0.63,BW25113,0,0.81133066527344,0.1555519170494093,0.11111344758073907,0.05776729799403597
Peebo et al. 2015,rich,0.65,BW25113,0,0.8213524833545205,0.1662449639990617,0.11069506274946533,0.048772289791809406
Peebo et al. 2015,rich,0.73,BW25113,0,0.7947908405874723,0.1653793239542479,0.11136498730605551,0.07361870059574296
Peebo et al. 2015,rich,0.74,BW25113,0,0.8174469003281147,0.1805334752530951,0.11819101323989101,0.04537915843659769
Peebo et al. 2015,rich,0.78,BW25113,0,0.8312420029047856,0.18839739062311736,0.11379068583133672,0.03607892458621743
Peebo et al. 2015,rich,0.82,BW25113,0,0.8451915771233107,0.20943642382853792,0.1232009133590523,0.014198810094557006
Schmidt et al. 2016,acetate,0.3,BW25113,0,0.8381878779296213,0.060170545734829654,0.0923303183842622,0.05202943870526138
Schmidt et al. 2016,chemostat_u0.12,0.12,BW25113,0,0.7986152884522181,0.05366989799075826,0.11118093659592254,0.07168757127335533
Schmidt et al. 2016,chemostat_u0.2,0.2,BW25113,0,0.796396193490164,0.05811337447965717,0.11064246392975378,0.07426687784266027
Schmidt et al. 2016,chemostat_u0.35,0.35,BW25113,0,0.7970724875089499,0.06461320777803671,0.11294956625269822,0.07095878756653769
Schmidt et al. 2016,chemostat_u0.5,0.5,BW25113,0,0.8183809993594432,0.08609006032526216,0.10986691274158644,0.0531425086115834
Schmidt et al. 2016,fructose,0.65,BW25113,0,0.8480923840602922,0.11205448828672969,0.09118874294307804,0.043082972173888553
Schmidt et al. 2016,fumarate,0.42,BW25113,0,0.8166144029407252,0.08174565652100556,0.09816644974068077,0.06525606525514903
Schmidt et al. 2016,galactose,0.26,BW25113,0,0.7990873015871974,0.06740483653809967,0.09567028973623383,0.08633333560643193
Schmidt et al. 2016,glucosamine,0.46,BW25113,0,0.8142219774347681,0.09060390803375329,0.10969769069622781,0.05614454778053738
Schmidt et al. 2016,glucose,0.58,BW25113,0,0.8434110649682898,0.11137768626313452,0.09814838226292974,0.04094114105134295
